*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr  3 2025 20:54:34
*************************************************
parsing config file: /home/zir/Pythia/config/pythia.ini

trace_0 /home/zir/ChampSim/ML-DPC/ChampSimTraces/spec06/462.libquantum-s2.trace.gz
adding L2C_PREFETCHER: Scooby
Initialize SHIP state
warmup_instructions 10000000
simulation_instructions 50000000
champsim_seed 165
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

scooby_alpha 0.0065088
scooby_gamma 0.556301
scooby_epsilon 0.00182284
scooby_state_num_bits 10
scooby_max_states 1024
scooby_seed 200
scooby_policy EGreedy
scooby_learning_type SARSA
scooby_actions 1,3,4,5,10,11,12,22,23,30,32,-1,-3,-6,0,
scooby_max_actions 15
scooby_pt_size 256
scooby_st_size 64
scooby_max_pcs 5
scooby_max_offsets 5
scooby_max_deltas 5
scooby_reward_none -4
scooby_reward_incorrect -8
scooby_reward_correct_untimely 12
scooby_reward_correct_timely 20
scooby_brain_zero_init 0
scooby_enable_reward_all 0
scooby_enable_track_multiple 0
scooby_enable_reward_out_of_bounds 1
scooby_reward_out_of_bounds -12
scooby_state_type 1
scooby_state_hash_type 11
scooby_access_debug 0
scooby_print_access_debug 0
scooby_print_access_debug_pc deadbeef
scooby_print_access_debug_pc_count 0
scooby_print_trace 0
scooby_enable_state_action_stats 1
scooby_enable_reward_tracker_hit 0
scooby_reward_tracker_hit -2
scooby_enable_featurewise_engine 1
scooby_pref_degree 1
scooby_enable_dyn_degree 1
scooby_max_to_avg_q_thresholds 0.5,1,2,
scooby_dyn_degrees 1,2,4,4,
scooby_multi_deg_select_type 2
scooby_last_pref_offset_conf_thresholds 1,3,8,
scooby_dyn_degrees_type2 1,2,4,6,
scooby_action_tracker_size 2
scooby_high_bw_thresh 4
scooby_enable_hbw_reward 1
scooby_reward_hbw_correct_timely 20
scooby_reward_hbw_correct_untimely 12
scooby_reward_hbw_incorrect -14
scooby_reward_hbw_none -2
scooby_reward_hbw_out_of_bounds -12
scooby_reward_hbw_tracker_hit -2
scooby_last_pref_offset_conf_thresholds_hbw 1,3,8,
scooby_dyn_degrees_type2_hbw 1,2,4,6,

le_enable_trace 0
le_trace_interval 0
le_trace_file_name 
le_trace_state 0
le_enable_score_plot 0
le_plot_file_name 
le_plot_actions 
le_enable_action_trace 0
le_action_trace_interval 0
le_action_trace_name 
le_enable_action_plot 0

le_featurewise_active_features PC, PC_Delta
le_featurewise_num_tilings 3,3,
le_featurewise_num_tiles 128,128,
le_featurewise_hash_types 2,2,
le_featurewise_enable_tiling_offset 1,1,
le_featurewise_max_q_thresh 0.5
le_featurewise_enable_action_fallback 1
le_featurewise_feature_weights 1,1,
le_featurewise_enable_dynamic_weight 0
le_featurewise_weight_gradient 0.001
le_featurewise_disable_adjust_weight_all_features_align 1
le_featurewise_selective_update 0
le_featurewise_pooling_type 2
le_featurewise_enable_dyn_action_fallback 1
le_featurewise_bw_acc_check_level 1
le_featurewise_acc_thresh 2
le_featurewise_enable_trace 0
le_featurewise_trace_feature_type 0
le_featurewise_trace_feature 
le_featurewise_trace_interval 0
le_featurewise_trace_record_count 0
le_featurewise_trace_file_name 
le_featurewise_enable_score_plot 0
le_featurewise_plot_actions 
le_featurewise_plot_file_name 


Heartbeat CPU  0 instructions:    1000003 cycles:     271741 heartbeat IPC: 3.67999 cumulative IPC: 3.67999 (Simulation time: 0 hr 0 min 1 sec) 
Heartbeat CPU  0 instructions:    2000003 cycles:     543441 heartbeat IPC: 3.68053 cumulative IPC: 3.68026 (Simulation time: 0 hr 0 min 3 sec) 
Heartbeat CPU  0 instructions:    3000003 cycles:     815141 heartbeat IPC: 3.68053 cumulative IPC: 3.68035 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1086846 heartbeat IPC: 3.68045 cumulative IPC: 3.68037 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  0 instructions:    5000003 cycles:    1358564 heartbeat IPC: 3.68030 cumulative IPC: 3.68036 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    6000003 cycles:    1630264 heartbeat IPC: 3.68053 cumulative IPC: 3.68039 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    7000003 cycles:    1970450 heartbeat IPC: 2.93957 cumulative IPC: 3.55249 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    2338963 heartbeat IPC: 2.71360 cumulative IPC: 3.42032 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  0 instructions:    9000000 cycles:    2708597 heartbeat IPC: 2.70538 cumulative IPC: 3.32275 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:   10000000 cycles:    3077030 heartbeat IPC: 2.71420 cumulative IPC: 3.24989 (Simulation time: 0 hr 0 min 14 sec) 

Warmup complete CPU  0 instructions:   10000001 cycles:    3077031 (Simulation time: 0 hr 0 min 14 sec) 

Heartbeat CPU  0 instructions:   11000000 cycles:    4215592 heartbeat IPC: 0.87830 cumulative IPC: 0.87830 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5379103 heartbeat IPC: 0.85947 cumulative IPC: 0.86878 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:   13000001 cycles:    6649226 heartbeat IPC: 0.78733 cumulative IPC: 0.83982 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  0 instructions:   14000000 cycles:    7831759 heartbeat IPC: 0.84564 cumulative IPC: 0.84127 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  0 instructions:   15000003 cycles:    9075995 heartbeat IPC: 0.80371 cumulative IPC: 0.83348 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:   10350008 heartbeat IPC: 0.78492 cumulative IPC: 0.82497 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  0 instructions:   17000000 cycles:   11688597 heartbeat IPC: 0.74706 cumulative IPC: 0.81286 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:   18000003 cycles:   12941640 heartbeat IPC: 0.79806 cumulative IPC: 0.81098 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  0 instructions:   19000002 cycles:   14265705 heartbeat IPC: 0.75525 cumulative IPC: 0.80438 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   15501491 heartbeat IPC: 0.80920 cumulative IPC: 0.80486 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  0 instructions:   21000003 cycles:   16809901 heartbeat IPC: 0.76429 cumulative IPC: 0.80100 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  0 instructions:   22000002 cycles:   18141558 heartbeat IPC: 0.75094 cumulative IPC: 0.79657 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  0 instructions:   23000000 cycles:   19463347 heartbeat IPC: 0.75655 cumulative IPC: 0.79334 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   20799053 heartbeat IPC: 0.74867 cumulative IPC: 0.78998 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  0 instructions:   25000000 cycles:   22114443 heartbeat IPC: 0.76023 cumulative IPC: 0.78792 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:   26000002 cycles:   24277561 heartbeat IPC: 0.46230 cumulative IPC: 0.75470 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  0 instructions:   27000002 cycles:   27114487 heartbeat IPC: 0.35249 cumulative IPC: 0.70723 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   30090612 heartbeat IPC: 0.33601 cumulative IPC: 0.66633 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   29000002 cycles:   33085785 heartbeat IPC: 0.33387 cumulative IPC: 0.63315 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  0 instructions:   30000002 cycles:   36028890 heartbeat IPC: 0.33978 cumulative IPC: 0.60695 (Simulation time: 0 hr 0 min 54 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   39006643 heartbeat IPC: 0.33582 cumulative IPC: 0.58448 (Simulation time: 0 hr 0 min 57 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   42009612 heartbeat IPC: 0.33300 cumulative IPC: 0.56508 (Simulation time: 0 hr 1 min 0 sec) 
Heartbeat CPU  0 instructions:   33000002 cycles:   44983916 heartbeat IPC: 0.33621 cumulative IPC: 0.54884 (Simulation time: 0 hr 1 min 3 sec) 
Heartbeat CPU  0 instructions:   34000002 cycles:   47939403 heartbeat IPC: 0.33835 cumulative IPC: 0.53497 (Simulation time: 0 hr 1 min 6 sec) 
Heartbeat CPU  0 instructions:   35000002 cycles:   50914445 heartbeat IPC: 0.33613 cumulative IPC: 0.52260 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   53687726 heartbeat IPC: 0.36058 cumulative IPC: 0.51373 (Simulation time: 0 hr 1 min 12 sec) 
Heartbeat CPU  0 instructions:   37000001 cycles:   54523033 heartbeat IPC: 1.19717 cumulative IPC: 0.52482 (Simulation time: 0 hr 1 min 14 sec) 
Heartbeat CPU  0 instructions:   38000000 cycles:   55317967 heartbeat IPC: 1.25796 cumulative IPC: 0.53598 (Simulation time: 0 hr 1 min 16 sec) 
Heartbeat CPU  0 instructions:   39000003 cycles:   56112704 heartbeat IPC: 1.25828 cumulative IPC: 0.54680 (Simulation time: 0 hr 1 min 17 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   56907790 heartbeat IPC: 1.25772 cumulative IPC: 0.55730 (Simulation time: 0 hr 1 min 19 sec) 
Heartbeat CPU  0 instructions:   41000001 cycles:   57703680 heartbeat IPC: 1.25646 cumulative IPC: 0.56749 (Simulation time: 0 hr 1 min 21 sec) 
