*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr  3 2025 20:54:34
*************************************************
parsing config file: /home/zir/Pythia/config/spp_dev2.ini

trace_0 /home/zir/ChampSim/ML-DPC/ChampSimTraces/spec06/459.GemsFDTD-s0.trace.gz
adding L2C_PREFETCHER: SPP_dev2
Initialize SIGNATURE TABLE
ST_SET: 1
ST_WAY: 256
ST_TAG_BIT: 16
ST_TAG_MASK: ffff

Initialize PATTERN TABLE
PT_SET: 512
PT_WAY: 4
SIG_DELTA_BIT: 7
C_SIG_BIT: 4
C_DELTA_BIT: 4

Initialize PREFETCH FILTER
FILTER_SET: 1024
fill_threshold: 90
pf_threshold: 40

Initialize SHIP state
warmup_instructions 10000000
simulation_instructions 50000000
champsim_seed 163
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13


Heartbeat CPU  0 instructions:    1000002 cycles:     544290 heartbeat IPC: 1.83726 cumulative IPC: 1.83726 (Simulation time: 0 hr 0 min 2 sec) 
Heartbeat CPU  0 instructions:    2000001 cycles:    1088319 heartbeat IPC: 1.83814 cumulative IPC: 1.83770 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    3000002 cycles:    1632358 heartbeat IPC: 1.83811 cumulative IPC: 1.83783 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2176339 heartbeat IPC: 1.83830 cumulative IPC: 1.83795 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    5000003 cycles:    2720489 heartbeat IPC: 1.83773 cumulative IPC: 1.83791 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  0 instructions:    6000001 cycles:    3264840 heartbeat IPC: 1.83705 cumulative IPC: 1.83776 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:    7000000 cycles:    3809277 heartbeat IPC: 1.83676 cumulative IPC: 1.83762 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    4353458 heartbeat IPC: 1.83762 cumulative IPC: 1.83762 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:    9000002 cycles:    4897944 heartbeat IPC: 1.83660 cumulative IPC: 1.83751 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  0 instructions:   10000000 cycles:    5442410 heartbeat IPC: 1.83666 cumulative IPC: 1.83742 (Simulation time: 0 hr 0 min 22 sec) 

Warmup complete CPU  0 instructions:   10000004 cycles:    5442411 (Simulation time: 0 hr 0 min 22 sec) 

Heartbeat CPU  0 instructions:   11000003 cycles:    6624314 heartbeat IPC: 0.84609 cumulative IPC: 0.84609 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    7794859 heartbeat IPC: 0.85430 cumulative IPC: 0.85018 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  0 instructions:   13000000 cycles:    9040311 heartbeat IPC: 0.80292 cumulative IPC: 0.83382 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  0 instructions:   14000001 cycles:   10232699 heartbeat IPC: 0.83865 cumulative IPC: 0.83502 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  0 instructions:   15000002 cycles:   11397088 heartbeat IPC: 0.85882 cumulative IPC: 0.83968 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:   12581797 heartbeat IPC: 0.84409 cumulative IPC: 0.84041 (Simulation time: 0 hr 0 min 37 sec) 
Heartbeat CPU  0 instructions:   17000000 cycles:   13807674 heartbeat IPC: 0.81574 cumulative IPC: 0.83679 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  0 instructions:   18000002 cycles:   14985023 heartbeat IPC: 0.84937 cumulative IPC: 0.83834 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:   16150102 heartbeat IPC: 0.85831 cumulative IPC: 0.84052 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   17506809 heartbeat IPC: 0.73708 cumulative IPC: 0.82888 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   21000001 cycles:   18791537 heartbeat IPC: 0.77838 cumulative IPC: 0.82402 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:   22000001 cycles:   22311254 heartbeat IPC: 0.28411 cumulative IPC: 0.71137 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:   23586557 heartbeat IPC: 0.78413 cumulative IPC: 0.71648 (Simulation time: 0 hr 0 min 54 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   27351773 heartbeat IPC: 0.26559 cumulative IPC: 0.63900 (Simulation time: 0 hr 0 min 57 sec) 
Heartbeat CPU  0 instructions:   25000003 cycles:   28609448 heartbeat IPC: 0.79512 cumulative IPC: 0.64747 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  0 instructions:   26000000 cycles:   32278984 heartbeat IPC: 0.27251 cumulative IPC: 0.59620 (Simulation time: 0 hr 1 min 2 sec) 
Heartbeat CPU  0 instructions:   27000000 cycles:   33508011 heartbeat IPC: 0.81365 cumulative IPC: 0.60572 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   36914742 heartbeat IPC: 0.29354 cumulative IPC: 0.57193 (Simulation time: 0 hr 1 min 6 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   38147952 heartbeat IPC: 0.81089 cumulative IPC: 0.58094 (Simulation time: 0 hr 1 min 8 sec) 
Heartbeat CPU  0 instructions:   30000003 cycles:   39410034 heartbeat IPC: 0.79234 cumulative IPC: 0.58880 (Simulation time: 0 hr 1 min 10 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   40594842 heartbeat IPC: 0.84402 cumulative IPC: 0.59740 (Simulation time: 0 hr 1 min 12 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   41775052 heartbeat IPC: 0.84731 cumulative IPC: 0.60552 (Simulation time: 0 hr 1 min 14 sec) 
Heartbeat CPU  0 instructions:   33000003 cycles:   42948884 heartbeat IPC: 0.85191 cumulative IPC: 0.61323 (Simulation time: 0 hr 1 min 16 sec) 
Heartbeat CPU  0 instructions:   34000002 cycles:   44064565 heartbeat IPC: 0.89631 cumulative IPC: 0.62140 (Simulation time: 0 hr 1 min 18 sec) 
